id,body_weight,brain_weight,max_life_span,gestation_time,predation_index,sleep_exposure_index,danger_index,total_sleep_real,total_sleep_predicho
50,0.75,12.3,7.0,225.0,2,2,2,6.6,5.4
56,0.9,2.6,4.5,60.0,2,1,2,13.3,15.8
0,6654.0,5712.0,38.6,645.0,3,5,3,3.3,3.9
57,2.0,12.3,7.5,200.0,3,1,3,5.4,5.4
5,10.55,179.5,27.0,180.0,4,4,4,9.8,10.9
48,4.235,50.4,9.8,52.0,1,1,1,9.8,12.5
16,0.785,3.5,6.0,42.0,2,2,2,10.7,8.4
12,0.55,2.4,15.1,79.0,2,1,2,10.3,11.0
25,36.33,119.5,16.2,63.0,1,1,1,13.0,12.5
59,4.19,58.0,24.0,210.0,4,3,4,10.3,6.2
30,35.0,56.0,16.3,33.0,3,5,4,10.45,8.4
9,52.16,440.0,50.0,230.0,1,1,1,9.7,6.2
47,0.28,1.9,4.7,21.0,3,1,3,13.2,13.2
